a|1|[[1,365],[2541,2640],[13474,13476],[13478,13484],[13486,13504]]
a|1|[[366,677],[13505,13508],[13510,13526]]
a|1|[[678,864]]
a|1|[[865,973],[13527,13528],[13530,13545],[13547,13554]]
a|1|[[974,1025],[9699,9709]]
a|4|[[4096,4128]]
a|4|[[4129,4395],[13556,13562]]
a|4|[[4396,4587]]
a|4|[[4588,4690],[13564,13564]]
a|4|[[4691,4942],[9698,9698],[13565,13565],[13567,13581],[13585,13585]]
b|1|[[1,365],[2541,2640],[13474,13476],[13478,13484],[13486,13504]]
b|1|[[366,677],[13505,13508],[13510,13526]]
b|1|[[678,864]]
b|1|[[865,973],[13527,13528],[13530,13545],[13547,13554]]
b|1|[]
b|4|[[4096,4128]]
b|4|[[4129,4395],[13556,13562]]
b|4|[[4396,4587]]
b|4|[[4588,4690],[13564,13564]]
b|4|[[4691,4942],[9698,9698],[13565,13565],[13567,13581],[13585,13585]]
c|1|[[1,365],[2541,2640],[10923,10925],[10930,10931],[10938,10962],[10964,10971],[10978,10978],[10987,10995],[10998,11009],[11015,11015],[11022,11034],[11046,11046],[11049,11054],[11057,11078],[13474,13476],[13478,13484],[13486,13504]]
c|1|[[366,677],[13505,13508],[13510,13526]]
c|1|[[678,864],[10926,10929],[10932,10937],[10963,10963],[10972,10977],[10979,10986],[10996,10997],[11010,11014],[11016,11021],[11035,11045],[11047,11048],[11055,11056]]
c|1|[[865,973],[13527,13528],[13530,13545],[13547,13554]]
c|1|[]
c|4|[[1537,1573],[11157,11157],[11262,11262]]
c|4|[[1574,1765],[2641,2662],[2664,2681],[2683,2716],[11085,11085],[11108,11113],[11148,11148],[11150,11152],[11158,11164],[11177,11182],[11189,11202],[11228,11233],[11241,11241],[11263,11272],[13556,13562]]
c|4|[[1766,1980]]
c|4|[[1981,2042],[2717,2727],[11086,11101],[11107,11107],[11114,11121],[11123,11128],[11138,11141],[11149,11149],[11153,11156],[11165,11172],[11183,11188],[11203,11218],[11227,11227],[11234,11240],[11242,11258],[13564,13564]]
c|4|[[2043,2207],[2728,2740],[11079,11082],[11084,11084],[11129,11137],[11142,11147],[11259,11261],[13565,13565],[13567,13581],[13585,13585]]
d|1|[[1,365],[2541,2640],[10923,10925],[10930,10931],[10938,10962],[10964,10971],[10978,10978],[10987,10995],[10998,11009],[11015,11015],[11022,11034],[11046,11046],[11049,11054],[11057,11078],[13474,13476],[13478,13484],[13486,13504]]
d|1|[[366,677],[13505,13508],[13510,13526]]
d|1|[[678,864],[10926,10929],[10932,10937],[10963,10963],[10972,10977],[10979,10986],[10996,10997],[11010,11014],[11016,11021],[11035,11045],[11047,11048],[11055,11056]]
d|1|[[865,973],[13527,13528],[13530,13545],[13547,13554]]
d|1|[]
d|4|[[1537,1573],[11157,11157],[11262,11262]]
d|4|[[1574,1765],[2641,2662],[2664,2681],[2683,2716],[11085,11085],[11108,11113],[11148,11148],[11150,11152],[11158,11164],[11177,11182],[11189,11202],[11228,11233],[11241,11241],[11263,11272],[13556,13562]]
d|4|[[1766,1980]]
d|4|[[1981,2042],[2717,2727],[11086,11101],[11107,11107],[11114,11121],[11123,11128],[11138,11141],[11149,11149],[11153,11156],[11165,11172],[11183,11188],[11203,11218],[11227,11227],[11234,11240],[11242,11258],[13564,13564]]
d|4|[[2043,2207],[2728,2740],[11079,11082],[11084,11084],[11129,11137],[11142,11147],[11259,11261],[13565,13565],[13567,13581],[13585,13585]]
